zone,invalidation,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,total_trades,win_rate,expectancy,profit_factor,max_drawdown
0.236-0.382,0.618,6.0,100,80,160,28,42.857142857142854,-0.6514234392188808,0.6106269581307463,-30.51442845961821
0.236-0.382,0.618,5.5,100,100,160,31,41.935483870967744,-0.7502151517447169,0.5579363783955086,-31.293455163482413
0.236-0.382,0.618,6.0,100,60,160,28,42.857142857142854,-0.8250470127650819,0.553214667375138,-35.37588851891184
0.236-0.382,0.618,4.5,100,100,160,40,42.5,-0.7168420009847238,0.5470648281569438,-37.57228878087596
0.236-0.382,0.618,4.5,100,80,160,40,42.5,-0.7273586371056268,0.5404199128449384,-37.57228878087596
0.236-0.382,0.618,5.5,100,80,160,30,40.0,-0.816806654468947,0.5342232842197321,-31.293455163482413
0.236-0.382,0.618,5.0,100,100,160,33,39.39393939393939,-0.8070333543999563,0.5242972986857357,-34.66888615459474
0.236-0.382,0.618,5.0,100,80,160,33,39.39393939393939,-0.8197807921222627,0.5167833706352088,-34.66888615459474
0.236-0.382,0.618,5.5,100,60,160,30,40.0,-0.978855323112068,0.4890332792857187,-36.15491522277604
0.236-0.382,0.618,5.0,100,60,160,33,39.39393939393939,-0.9670977636160091,0.4754936769015806,-39.53034621388837
0.236-0.382,0.618,4.5,100,60,160,40,40.0,-0.9284908878413972,0.46538266537168993,-45.617578810306775
